Asana,Sanskrit,English,Type,Effect on spine,Suitable for meditation,Yin Yoga variant 
Vajrasana,वज्रासन,Thunderbolt,Kneeling,,Meditation,
Vasishtasana,वसिष्ठासन,Side Plank,Balancing,,,
Viparita Dandasana,विपरीत दण्डासन,Inverted Staff,Inversion,Backbend,,
Viparita Karani,विपरीतकरणि,Legs-Up-the-Wall,Inversion,,,
Viparita Virabhadrasana,विपरीतवीरभद्रासन,Reversed Warrior,Standing,,,
Virabhadrasana I,वीरभद्रासन,Warrior I,Standing,,,
Virabhadrasana II,वीरभद्रासन II,Warrior II,Standing,,,
Virabhadrasana III,वीरभद्रासन III,Warrior III,Standing,,,
Virasana,वीरासन,Hero,Kneeling,,Meditation,
Vrikshasana,वृक्षासन,Tree,Standing | Balancing,,,
Vrischikasana,वृश्चिकासन,Scorpion,Inversion,Backbend,,
Yoganidrasana,योगनिद्रासन,Yogic sleep,Reclining,Forward bend,,
